               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098111,            0.036936,            0.028607,           0.0018604,             0.52179,           0.0098143,           0.0021143,            0.081746,             0.04483,            0.026561,            0.070455,           0.0032828,           0.0032828
                   1,            0.071117,            0.037966,            0.025545,             0.13843,             0.14216,             0.10579,            0.020309,            0.072315,            0.041153,            0.023711,            0.040411,           0.0065725,           0.0065725
                   2,            0.066444,             0.03184,            0.022217,             0.20063,             0.34423,             0.15327,            0.038691,            0.067879,            0.035698,            0.016154,            0.010323,           0.0098182,           0.0098182
                   3,            0.064277,            0.026296,            0.013843,             0.35508,             0.44336,             0.39066,             0.12558,            0.058652,            0.033283,           0.0094517,            0.009802,            0.009802,            0.009802
                   4,            0.058327,            0.024353,           0.0083605,             0.62573,             0.54668,             0.59059,             0.17451,            0.065317,            0.026916,           0.0052901,            0.009802,            0.009802,            0.009802
                   5,            0.052867,            0.022499,            0.006679,             0.73947,              0.6671,             0.76629,             0.27061,            0.051221,            0.029736,             0.00415,            0.009736,            0.009736,            0.009736
                   6,            0.050289,            0.022304,           0.0053174,             0.80145,             0.77251,             0.78934,             0.29637,            0.047833,            0.028122,           0.0079883,             0.00967,             0.00967,             0.00967
                   7,            0.047993,            0.021607,           0.0044871,             0.90383,             0.71405,             0.83713,             0.27753,            0.048763,            0.026215,           0.0044192,            0.009604,            0.009604,            0.009604
                   8,            0.045357,            0.020518,           0.0036824,             0.91852,             0.82026,             0.87244,             0.36915,            0.045062,            0.025869,           0.0047488,            0.009538,            0.009538,            0.009538
                   9,            0.043803,            0.020461,           0.0034459,             0.90892,              0.8512,             0.89558,             0.33901,            0.046504,            0.025836,           0.0036456,            0.009472,            0.009472,            0.009472
                  10,            0.042962,             0.02047,           0.0035908,              0.8983,             0.81973,             0.86863,             0.36208,            0.043288,             0.02542,              0.0046,            0.009406,            0.009406,            0.009406
                  11,            0.041794,            0.019765,           0.0027617,             0.89451,             0.86601,             0.90642,             0.38139,             0.04034,            0.028204,           0.0050166,             0.00934,             0.00934,             0.00934
                  12,            0.041152,            0.019148,            0.002615,             0.86588,             0.80243,             0.85397,             0.34064,            0.047065,            0.026569,           0.0048515,            0.009274,            0.009274,            0.009274
                  13,            0.039323,            0.019496,           0.0026101,             0.85765,             0.81228,               0.864,             0.37225,            0.044133,            0.027031,            0.004348,            0.009208,            0.009208,            0.009208
                  14,            0.038838,            0.019125,           0.0027029,             0.94285,             0.81155,             0.87104,             0.38684,            0.041226,            0.026172,           0.0067938,            0.009142,            0.009142,            0.009142
                  15,             0.03822,            0.018516,           0.0028603,             0.93301,             0.86483,             0.90192,              0.4435,            0.041228,            0.024447,           0.0055368,            0.009076,            0.009076,            0.009076
                  16,            0.036786,            0.018491,           0.0020445,              0.9055,             0.85267,             0.91585,             0.41043,            0.041407,            0.025347,            0.010122,             0.00901,             0.00901,             0.00901
                  17,            0.036352,            0.018363,           0.0019348,             0.91055,             0.88282,             0.92146,             0.41063,            0.040886,            0.025716,            0.004022,            0.008944,            0.008944,            0.008944
                  18,            0.035633,            0.017896,           0.0022313,             0.92316,             0.86307,             0.92182,             0.41131,            0.040721,            0.024639,           0.0050182,            0.008878,            0.008878,            0.008878
                  19,            0.035578,            0.017945,           0.0018228,             0.93211,             0.84804,             0.90709,             0.44498,            0.037016,             0.02445,           0.0094819,            0.008812,            0.008812,            0.008812
                  20,             0.03517,            0.017548,           0.0017644,             0.89235,             0.85728,             0.92024,             0.44948,            0.035732,            0.025694,           0.0044117,            0.008746,            0.008746,            0.008746
                  21,            0.033741,            0.017254,           0.0018612,             0.90575,             0.85152,             0.91638,             0.48631,            0.035829,            0.024535,           0.0045527,             0.00868,             0.00868,             0.00868
                  22,            0.034525,            0.016858,           0.0015765,             0.92932,             0.87691,             0.93224,              0.5228,            0.032892,            0.025877,           0.0037062,            0.008614,            0.008614,            0.008614
                  23,            0.032551,            0.017069,           0.0017138,             0.94623,             0.83556,             0.94212,             0.50555,            0.034454,             0.02545,           0.0030747,            0.008548,            0.008548,            0.008548
                  24,            0.032899,              0.0167,           0.0017338,             0.90099,             0.84041,             0.89614,             0.46112,            0.037463,            0.027391,           0.0054554,            0.008482,            0.008482,            0.008482
                  25,            0.031218,             0.01625,           0.0016536,             0.95085,             0.89975,              0.9417,             0.43933,            0.038994,             0.02674,            0.003607,            0.008416,            0.008416,            0.008416
                  26,            0.032167,            0.016329,             0.00164,             0.90458,             0.87713,             0.93314,             0.50058,            0.036561,            0.025762,           0.0049315,             0.00835,             0.00835,             0.00835
                  27,            0.030982,            0.016539,           0.0014297,             0.85227,             0.88671,             0.90557,             0.45257,            0.037471,            0.027284,           0.0076005,            0.008284,            0.008284,            0.008284
                  28,             0.03137,            0.016208,            0.001377,             0.90344,             0.87302,             0.92328,             0.46033,            0.037219,            0.024514,           0.0034611,            0.008218,            0.008218,            0.008218
                  29,            0.029169,            0.016238,            0.001637,             0.90424,             0.86764,              0.9288,             0.51785,            0.032653,            0.025479,            0.011102,            0.008152,            0.008152,            0.008152
                  30,            0.030142,            0.016112,            0.001849,             0.94601,             0.87745,             0.91958,             0.50027,            0.033785,            0.025805,           0.0046151,            0.008086,            0.008086,            0.008086
                  31,            0.028891,            0.015997,           0.0013596,              0.9563,             0.83143,             0.94296,              0.4936,             0.03374,            0.026505,           0.0064909,             0.00802,             0.00802,             0.00802
                  32,            0.029017,            0.015817,           0.0015499,             0.91672,             0.91394,             0.92999,             0.47885,            0.037516,            0.025635,           0.0026839,            0.007954,            0.007954,            0.007954
                  33,            0.027732,            0.015763,           0.0016163,             0.87665,             0.88562,             0.91868,             0.48772,            0.035531,            0.026603,           0.0065608,            0.007888,            0.007888,            0.007888
                  34,             0.02885,            0.015302,           0.0014453,             0.90081,              0.8622,             0.91625,             0.49596,             0.03659,            0.025669,           0.0029256,            0.007822,            0.007822,            0.007822
                  35,            0.028345,            0.015172,           0.0013105,             0.92119,             0.84985,             0.93075,             0.50796,            0.036423,            0.026172,           0.0021987,            0.007756,            0.007756,            0.007756
                  36,            0.027654,            0.014799,           0.0012934,             0.90117,             0.92429,             0.94919,             0.46739,            0.037863,            0.025148,           0.0035597,             0.00769,             0.00769,             0.00769
                  37,            0.027771,            0.015274,           0.0012542,             0.94042,             0.90316,             0.93434,             0.50996,            0.036703,             0.02524,           0.0027084,            0.007624,            0.007624,            0.007624
                  38,             0.02723,            0.015259,          0.00098476,             0.91445,             0.85893,             0.93642,             0.52153,             0.03338,            0.026204,           0.0028478,            0.007558,            0.007558,            0.007558
